customer_id,customer_zip_code_prefix,customer_city,customer_state
hCT0x9JiGXBQ,58125,Varzea Paulista,SP
PxA7fv9spyhx,3112,Armacao Dos Buzios,RJ
g3nXeJkGI0Qw,4119,Jandira,SP
EOEsCQ6QlpIg,18212,Uberlandia,MG
mVz5LO2Vd6cL,88868,Ilhabela,SP
UkqnhxmX7YMP,25902,Porto Uniao,SC
85jiDiGSfhTu,4762,Guarulhos,SP
gDdkaN8b9s1g,75870,Mogi-Guacu,SP
9Csx6oXlpLl1,69068,Bebedouro,SP
gZTPKLPRnreg,20921,Sao Paulo,SP
TDEBQrhIwApB,1223,Itaperuna,RJ
1k71TCYNFCzj,11703,Serra,ES
IfWKDQHkjLDd,32407,Sao Goncalo,RJ
kZ0rkJCJ6N5y,13843,Mogi Das Cruzes,SP
zsCKIdqYLV01,2961,Caico,RN
FrEvnEiMKGpr,28630,Sao Paulo,SP
3zvaY9gUH9bO,59020,Barra Mansa,RJ
bUornDCZmRD4,3440,Sao Paulo,SP
qEVfsXFU3er9,3936,Apora,BA
mPg90mQwmDOP,85140,Brasilia,DF
v6GelvnCrAk5,18500,Sao Paulo,SP
lZ0pUFQvjZNA,37589,Lorena,SP
ckZATUjYdFd3,54070,Sao Paulo,SP
GuxDt46GwQEd,95912,Canoas,RS
SPV4UclettEh,75132,Nova Iguacu,RJ
GpdbWoJi61Qc,20011,Caruaru,PE
KD8KlSTtIm3Z,85155,Sao Lourenco Da Mata,PE
QU7yWUgfIpJX,35360,Novo Hamburgo,RS
rgjb3WchpjHg,57690,Goiania,GO
JyHhNu9cbCo1,57180,Belo Horizonte,MG
Jw0zo2CWiEs7,95925,Sao Paulo,SP
MXiUFyGLUs2Z,89031,Nova Serrana,MG
oiBrZODbJTvz,17017,Guacui,ES
mcuPjOLRkNpR,77807,Sao Paulo,SP
yOjH9Exn64WQ,11680,Sao Paulo,SP
yca6TkmY4yQm,50720,Sao Joao De Meriti,RJ
LooHWGt3K5gp,88650,Sao Pedro Da Uniao,MG
oZqYD7eyV1EJ,93346,Brasilia,DF
0hj86xqZbYSV,53610,Sao Jose,SC
l2wCGNSY1l3Z,58900,Itatiba,SP
ukZ709Rl8bdF,3809,Sao Paulo,SP
iFsAJRrzVaTS,4932,Sao Paulo,SP
tSG89uyaK6MS,66040,Ribeirao Preto,SP
Ex7BhwPvrGyQ,4551,Santana Do Acarau,CE
f4Frm4WEvj1g,45890,Sao Paulo,SP
ORO4ADUB1jHd,83075,Curitiba,PR
jQ0u9oBPe3Mg,79620,Sao Paulo,SP
0I8vL0BlM1p1,2943,Atibaia,SP
JtX09eqY5lk3,74943,Sao Paulo,SP
sk3z82bQhZAO,25651,Recife,PE
eSqRKROmKF9Y,65210,Florianopolis,SC
SNzA2roBQaGK,31744,Rio De Janeiro,RJ
IGPOK4wVaGbv,13065,Taubate,SP
45WzrefbE0kB,99025,Sao Paulo,SP
dGD1MVag3snm,1050,Curitiba,PR
EI8c9beFpTSQ,75388,Santa Ines,MA
YanexVtkhb2B,6810,Santos,SP
iaDXrhsLGSc6,40354,Belo Horizonte,MG
hWGGX7sEla9R,36090,Araras,SP
MNcdWG4E5iDb,72548,Brasilia,DF
7mxdMPX1ERJj,9445,Uberlandia,MG
JJe2PPwxISzG,25545,Santa Cruz Do Rio Pardo,SP
cnalXbv8lRur,65302,Cubatao,SP
Vpl3DrXMAEhb,65935,Itapolis,SP
cWwtMYBNlwy1,98010,Porto Alegre,RS
bEh2OYyGVzcI,59075,Timoteo,MG
3JeAegsqlpZ1,65510,Sao Paulo,SP
6gl6qALuNSUL,6394,Claudio,MG
rAV7gKaOWkEy,71740,Bofete,SP
CiOHqzRk5bbt,9603,Manhuacu,MG
tIPFV5qJBgvT,78885,Tatui,SP
yD2x7GOSsjqA,76470,Governador Valadares,MG
a9gFQyCfrVym,3920,Parnaiba,PI
dXsploeBzop3,2757,Curitiba,PR
9tQzKeNKhIoQ,3809,Sao Paulo,SP
TLYzpBJ3Cbnv,4854,Uberlandia,MG
J2bElQYq3gEQ,11446,Carapicuiba,SP
lFEdYUjKo6tu,48010,Bom Jesus Da Penha,MG
8tpStNEuJ43p,26293,Porto Alegre,RS
qvo2fc2aRUvp,63515,Itu,SP
pk1Ke0Nxac36,33930,Rio De Janeiro,RJ
UlqYPqEYgETA,8535,Nilopolis,RJ
M7wmpVTfmiFp,25545,Santa Cruz Do Rio Pardo,SP
4YfVSBGWPVdv,30662,Santos,SP
pqIfz7jRxaKh,7911,Sao Bernardo Do Campo,SP
5XGKxFrzDdYP,25804,Caiua,SP
oWBBqGwqpx4m,75630,Bom Jesus,PI
EeCs1w6JNdPU,39363,Primavera Do Leste,MT
hgHQgpZ9rVHu,95870,Itajai,SC
uvuFFZDOAlU7,93410,Sao Paulo,SP
bVaqeOVzrNj1,58580,Niteroi,RJ
EZkjVsEKMQF0,88130,Araraquara,SP
LkYwWbX35V3p,36700,Sao Paulo,SP
paCiJAGDh54D,12053,Piracicaba,SP
wuCRBXrAQIyN,86375,Goiania,GO
jsuJ85mr7Rlb,31525,Guarulhos,SP
7qqTmdyVGDMP,99990,Sao Goncalo,RJ
ebCRKHmjYa2q,82640,Joinville,SC
ap5gXjoc79ju,48020,Sao Paulo,SP
63cb18M1Z31w,4114,Ibirite,MG
cIIcBGeYxzLl,21640,Palhoca,SC
asn6Y9BiG6Ma,2261,Curitiba,PR
MdXOdiX1GYJB,25560,Itupeva,SP
DFT8eetndqim,99250,Monte Azul Paulista,SP
pfARTA1RWJhn,26140,Joinville,SC
G7fLaaLEAieo,44092,Concordia,SC
VOohNhPUdkDS,3274,Araraquara,SP
dvl5K6eo1ouv,62800,Osasco,SP
Nxs89iJKBJ8Z,2185,Jundiai,SP
fo2DhPj0geOU,5642,Januaria,MG
ufG7Q9l2g5Dn,25680,Sao Paulo,SP
uJZ6s76zSxtN,95173,Campinas,SP
gngo3QnJVUXB,56460,Sao Paulo,SP
HtPYXtaKFzex,49180,Belo Horizonte,MG
xIjzSNbQQ1uw,94451,Sao Bernardo Do Campo,SP
3qJ5VThdsczu,6010,Uberlandia,MG
lZCaJq9iYKt0,59015,Brasilia,DF
ncBjZzosb18g,29330,Dom Pedrito,RS
E1CIwdUAL7mV,4734,Rio De Janeiro,RJ
QsVvy2vjoqJ2,88350,Passo Fundo,RS
eWPTvp2Uxgjr,70298,Dourados,MS
SDjEL1DMM89j,3974,Assis,SP
A5ypt74Dm5ED,39900,Acarau,CE
M8toooCMGG65,39625,Porto Alegre,RS
YeToIjRZbK1b,4832,Sao Paulo,SP
zwFtWWaE2Ja8,37305,Vera,MT
Yu7y0eUjrMjF,1414,Sao Bernardo Do Campo,SP
tvBnqB57rQrh,2634,Betim,MG
EmOTT0NimdgC,64080,Resende,RJ
3QWW2QATQoks,2247,Maua,SP
9U87V4FA6owh,70865,Sao Paulo,SP
LGiyKX8bqvRl,59300,Telemaco Borba,PR
JG5L1Y6huM3k,26572,Peruibe,SP
grsbZ5L1H5ty,19030,Monte Carmelo,MG
ZLVSgLGIBt50,85303,Assis,SP
LFLEYmt3mGzI,29192,Rio De Janeiro,RJ
26bdBz0weg9K,28145,Carapicuiba,SP
iWDrWao0rL2O,89108,Taubate,SP
6rX0opAYaf5O,92323,Santos,SP
WnCydkx96ul3,13609,Buenopolis,MG
frNd2yIHhY1X,76390,Paranaita,MT
5aMM3LwvZE6p,9655,Recife,PE
5nowe7IWIlDi,2932,Sao Paulo,SP
nOJb8kxjeqMu,89202,Caxias Do Sul,RS
qVYMpdAeuyNn,31746,Campinas,SP
9QRPPukPDKtj,37136,Betim,MG
ejNZQ7X7x2T3,94950,Teresina,PI
Aecwfm7Hmsal,13170,Cascavel,PR
tc4f86hhYwpB,95250,Salvador,BA
u1gplSGJr1m5,11661,Salvador,BA
JOJJwXBnFMcH,83411,Curitiba,PR
txfGakDnlUkr,35325,Lagoa D'Anta,RN
Hv2CJ4UgONx7,26263,Betim,MG
aptoeeHlIxbP,33120,Ribeirao Preto,SP
Df666drgmPfx,42721,Paranagua,PR
DRJMerHUON15,6690,Matupa,MT
7oijac5SpbW5,4690,Guarulhos,SP
N9TistbY5amC,4880,Sao Jose Dos Campos,SP
CWALhpNIASHI,95835,Carapicuiba,SP
jnoKHCWQzJID,79115,Lencois Paulista,SP
eKhyaqjCe7PA,24310,Campo Mourao,PR
0XrxfhxhjXYE,74660,Rio De Janeiro,RJ
yBX7ugjJOTSS,6030,Itumbiara,GO
oCaEiLxD6fHF,45710,Sao Paulo,SP
I94cAhDO80TM,35470,Ferraz De Vasconcelos,SP
nyVwdmiDhhG6,39780,Belo Horizonte,MG
uQoGZ4NfZUsh,35894,Conchal,SP
5dFJ3hGKYymc,89970,Ipatinga,MG
fvrCaNELssNc,97385,Sao Paulo,SP
g0UqYq0z41XR,74460,Niteroi,RJ
VBhPvelXEBtq,95181,Diamantino,MT
TSar8iKGBFdD,88704,Niteroi,RJ
YsC9HcNGEOnJ,15010,Cabralia Paulista,SP
UXwfLujVOTVL,60175,Jarinu,SP
sllkB0XGYrxT,83413,Taubate,SP
OSFTagz8LUCX,64645,Sao Paulo,SP
IG0zdwpicn3n,3185,Florianopolis,SC
gvNtQarZgOr8,28664,Aracaju,SE
YeOwwF3fdWgu,66115,Jundiai,SP
HTmirdxNO6w3,3553,Niteroi,RJ
ROKLVaGH8de0,75220,Duque De Caxias,RJ
vqxOoMq59uav,2532,Blumenau,SC
RoIfzwKM1yvo,3928,Rio De Janeiro,RJ
E1orXI8bLrNV,89065,Sao Paulo,SP
